"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2620:1ec:bdf::58","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TLSv1.2","113","Application Data"
"2","0.000000","2620:1ec:bdf::58","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TLSv1.2","98","Application Data"
"3","0.000000","2620:1ec:bdf::58","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","74","443  >  56215 [FIN, ACK] Seq=64 Ack=1 Win=105 Len=0"
"4","0.000064","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2620:1ec:bdf::58","TCP","74","56215  >  443 [ACK] Seq=1 Ack=65 Win=255 Len=0"
"5","0.000207","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2620:1ec:bdf::58","TCP","74","56215  >  443 [FIN, ACK] Seq=1 Ack=65 Win=255 Len=0"
"6","0.016241","2620:1ec:bdf::58","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","74","443  >  56215 [ACK] Seq=65 Ack=2 Win=105 Len=0"
"7","2.220922","10.200.251.252","10.200.251.29","DNS","70","Standard query 0xd27b A c.pki.goog"
"8","2.221157","10.200.251.252","10.200.251.29","DNS","70","Standard query 0x2070 AAAA c.pki.goog"
"9","2.266627","10.200.251.29","10.200.251.252","DNS","133","Standard query response 0x2070 AAAA c.pki.goog CNAME pki-goog.l.google.com AAAA 2404:6800:4007:80f::2003"
"10","2.266871","10.200.251.29","10.200.251.252","DNS","121","Standard query response 0xd27b A c.pki.goog CNAME pki-goog.l.google.com A 142.250.77.131"
"11","2.270426","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2404:6800:4007:80f::2003","TCP","86","55618  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"12","2.289035","2404:6800:4007:80f::2003","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","86","80  >  55618 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1255 SACK_PERM WS=256"
"13","2.289129","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2404:6800:4007:80f::2003","TCP","74","55618  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"14","2.289282","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2404:6800:4007:80f::2003","HTTP","274","GET /r/r4.crl HTTP/1.1 "
"15","2.306804","2404:6800:4007:80f::2003","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","74","80  >  55618 [ACK] Seq=1 Ack=201 Win=269312 Len=0"
"16","2.319775","2404:6800:4007:80f::2003","2401:4900:633f:c147:1c1d:acc7:1e68:b337","TCP","1294","80  >  55618 [ACK] Seq=1 Ack=201 Win=269312 Len=1220 [TCP PDU reassembled in 17]"
"17","2.319775","2404:6800:4007:80f::2003","2401:4900:633f:c147:1c1d:acc7:1e68:b337","PKIX-CRL","95","Certificate Revocation List"
"18","2.319813","2401:4900:633f:c147:1c1d:acc7:1e68:b337","2404:6800:4007:80f::2003","TCP","74","55618  >  80 [ACK] Seq=201 Ack=1242 Win=64256 Len=0"
"19","3.186360","10.200.251.252","10.200.251.29","DNS","96","Standard query 0x539e AAAA script-version.ipn.monetizemyapp.net"
"20","3.481125","10.200.251.29","10.200.251.252","DNS","96","Standard query response 0x539e AAAA script-version.ipn.monetizemyapp.net"
"21","3.481864","10.200.251.252","23.227.142.154","TCP","66","55619  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"22","3.933890","23.227.142.154","10.200.251.252","TCP","66","80  >  55619 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1275 SACK_PERM WS=1024"
"23","3.934001","10.200.251.252","23.227.142.154","TCP","54","55619  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"24","3.934221","10.200.251.252","23.227.142.154","HTTP","177","GET /easyasvpn/script/version.txt?version=1.1.6 HTTP/1.1 "
