"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","50668  >  5000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"2","0.000144","127.0.0.1","127.0.0.1","TCP","56","5000  >  50668 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"3","0.000179","127.0.0.1","127.0.0.1","TCP","44","50668  >  5000 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.000531","127.0.0.1","127.0.0.1","HTTP","595","GET /api/status HTTP/1.1 "
"5","0.000578","127.0.0.1","127.0.0.1","TCP","44","5000  >  50668 [ACK] Seq=1 Ack=552 Win=64768 Len=0"
"6","0.004869","127.0.0.1","127.0.0.1","TCP","212","5000  >  50668 [PSH, ACK] Seq=1 Ack=552 Win=64768 Len=168 [TCP PDU reassembled in 8]"
"7","0.004920","127.0.0.1","127.0.0.1","TCP","44","50668  >  5000 [ACK] Seq=552 Ack=169 Win=65280 Len=0"
"8","0.004969","127.0.0.1","127.0.0.1","HTTP/JSON","11007","HTTP/1.1 200 OK , JSON (application/json)"
"9","0.005001","127.0.0.1","127.0.0.1","TCP","44","50668  >  5000 [ACK] Seq=552 Ack=11132 Win=54272 Len=0"
"10","0.005955","127.0.0.1","127.0.0.1","TCP","44","50668  >  5000 [FIN, ACK] Seq=552 Ack=11132 Win=54272 Len=0"
"11","0.005985","127.0.0.1","127.0.0.1","TCP","44","5000  >  50668 [ACK] Seq=11132 Ack=553 Win=64768 Len=0"
"12","0.011459","127.0.0.1","127.0.0.1","TCP","44","5000  >  50668 [FIN, ACK] Seq=11132 Ack=553 Win=64768 Len=0"
"13","0.011541","127.0.0.1","127.0.0.1","TCP","44","50668  >  5000 [ACK] Seq=553 Ack=11133 Win=54272 Len=0"
"14","0.024180","127.0.0.1","127.0.0.1","TCP","56","54799  >  5000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"15","0.024277","127.0.0.1","127.0.0.1","TCP","56","5000  >  54799 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"16","0.024306","127.0.0.1","127.0.0.1","TCP","44","54799  >  5000 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
