"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"2","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"3","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"4","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"5","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"6","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"7","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"8","0.000000","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"9","0.000066","10.216.143.252","92.223.116.253","TCP","66","57273  >  80 [ACK] Seq=1 Ack=5793 Win=183 Len=0 TSval=83366099 TSecr=3140219203"
"10","0.000105","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=1 Ack=5793 Win=500 Len=0 TSval=83366099 TSecr=3140219210"
"11","0.000171","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"12","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"13","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"14","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"15","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"16","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"17","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"18","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"19","0.012731","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"20","0.012815","10.216.143.252","92.223.116.253","TCP","66","57205  >  80 [ACK] Seq=1 Ack=13033 Win=500 Len=0 TSval=83366112 TSecr=3140219210"
"21","0.012863","10.216.143.252","92.223.116.253","TCP","66","57273  >  80 [ACK] Seq=1 Ack=11585 Win=185 Len=0 TSval=83366112 TSecr=3140219224"
"22","0.013094","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"23","0.013127","10.216.143.252","92.223.116.253","TCP","66","57273  >  80 [ACK] Seq=1 Ack=13033 Win=185 Len=0 TSval=83366112 TSecr=3140219224"
"24","0.019307","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"25","0.019307","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"26","0.019307","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
"27","0.019307","92.223.116.253","10.216.143.252","HTTP","1514","Continuation"
